标志,ID,人物,位置,内容,跳转,效果,目标
#,0,,,约翰一步一步地走向镇子，,1,,
#,1,,,他已经很久没有正常地接近其他人了，,2,,
#,2,,,多年的躲藏让他疏于与人交流，,3,,
#,3,,,而此刻，他想象着自己走进人群中的情景，,4,,
#,4,,,那种熟悉又陌生的感觉使他心跳加速。,5,,
#,5,,,他记得自己曾经历过的孤独，,6,,
#,6,,,担心自己的过去被人误解，给人带来恐惧。,7,,
#,7,,,而现在，他解除了诅咒，恢复了正常身。,8,,
#,8,,,此刻的他渴望与人交流，渴望分享自己的故事；,9,,
#,9,,,此刻的他，内心充满希望。,10,,
#,10,,,就在这时，他在人群中看见了一个身影，,11,,
#,11,,,时间仿佛凝固，他的心跳也瞬间漏了一拍，,12,,
#,12,,,一种难以言喻的情感在他胸中翻腾，,13,,
#,13,,,他加快脚步，每一步都那么沉重，又充满期待，,14,,
#,14,,,他期待着看到那好像是他多年来魂牵梦萦的画面。,15,,
#,15,约翰,右,妹……这位小姐，请问你是姓，,16,,
#,16,约翰,右,维斯特布鲁克（Westbrook）吗？,17,,
#,17,妹？,左,什，什么？什么维斯……,18,,
#,18,约翰,右,维斯特布鲁克！家！家西边的那条小溪！,19,,
#,19,约翰,右,维斯特布鲁克！我是约翰·维斯特布鲁克！,20,,
#,20,妹？,左,维……小溪……啊，那条小溪啊！,21,,
#,21,妹？,左,你是约翰哥哥！约翰哥哥，是你吗？！,22,,
#,22,约翰,右,对！对！是我！是我没错！,23,,
#,23,,,不知是因为泪水充满眼眶，还是药物的副作用远视眼，,24,,
#,24,,,他看不清眼前这个姑娘；,25,,
#,25,,,尽管他的听力削弱了，,26,,
#,26,,,听不清周围好像是姑娘的父母——,27,,
#,27,,,也是自己的“父母”，发出的呼喊；,28,,
#,28,,,尽管他失去了嗅觉又恢复了人身，,29,,
#,29,,,不能像以前一样用气味分辨每一个人；,30,,
#,30,,,但是这个姑娘伏在他耳边，轻轻的一声：,31,,
#,31,妹？,左,哥·哥。,32,,
#,32,,,足以让他放下任何心理的防线。,33,,
#,33,,,于是，小镇上的人目睹了这个奇异的画面，,34,,
#,34,,,一个披着明显不合身巨大斗篷的男子，紧紧拥住了这个年轻姑娘，,35,,
#,35,,,一边大喊着妹妹，一边放声痛哭。,36,,
#,36,,,而就在不远处的药剂屋房顶上，,37,,
#,37,,,奶牛猫正舔着自己的爪子。,38,,
#,38,奶牛猫,左,到底是传奇雇佣兵，真是敏感，,39,,
#,39,奶牛猫,左,害得我不得不亲自下药。,40,,
#,40,奶牛猫,左,哎呀呀，不愧是我最爱的小天才呢，,41,,
#,41,奶牛猫,左,多亏了你，,42,,
#,42,奶牛猫,左,这些药剂的药效才发挥得这么好，,43,,
#,43,奶牛猫,左,让那些劣质的人偶这么顺利就骗过他了。,44,,
#,44,奶牛猫,左,不过……最有用的果然还是,45,,
#,45,奶牛猫,左,他献祭的美味的，,46,,
#,46,奶牛猫,左,记·忆·呢。,47,,
END,47,,,,,,
